district_code,district_name
3301,Kanchipuram
3302,Tiruvallur
3303,Cuddalore
3304,Villupuram
3305,Vellore
3306,Tiruvannamalai
3307,Salem
3308,Namakkal
3309,Dharmapuri
3310,Erode
3311,Coimbatore
3312,Nilgiris
3313,Thanjavur
3314,Nagapattinam
3315,Tiruvarur
3316,Tiruchirappalli
3317,Karur
3318,Perambalur
3319,Pudukkottai
3320,Madurai
3321,Theni
3322,Dindigul
3323,Ramanathapuram
3324,Virudhunagar
3325,Sivagangai
3326,Tirunelveli
3327,Thoothukkudi
3328,Kanniyakumari
3329,Chennai
3330,Krishnagiri
3331,Ariyalur
3332,Tiruppur
